epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.358,1.05101,1.20894,1.02657,0.80189,0.72646,0.79313,0.64064,0.85907,0.69413,0.95323,0.000416309,0.000416309,0.000416309
2,277.311,0.97883,0.79559,1.00218,0.86389,0.71834,0.83481,0.69105,0.82089,0.60827,0.94628,0.000816483,0.000816483,0.000816483
3,418.042,0.95645,0.71857,0.9974,0.85551,0.79596,0.86138,0.71172,0.85142,0.607,0.96304,0.00120016,0.00120016,0.00120016
4,561.907,0.92498,0.67011,0.98596,0.91178,0.77975,0.87772,0.74571,0.77953,0.5451,0.9371,0.00117575,0.00117575,0.00117575
5,703.579,0.90034,0.62992,0.97838,0.86407,0.80503,0.8822,0.74362,0.77394,0.51631,0.93593,0.001151,0.001151,0.001151
6,844.863,0.88268,0.60575,0.97259,0.88532,0.8067,0.88203,0.75083,0.76328,0.51464,0.92974,0.00112625,0.00112625,0.00112625
7,987.905,0.86225,0.58798,0.96323,0.88675,0.81306,0.88526,0.76762,0.74699,0.49013,0.92822,0.0011015,0.0011015,0.0011015
8,1131.37,0.85251,0.57044,0.96142,0.89688,0.81992,0.90045,0.78442,0.73373,0.47455,0.92046,0.00107675,0.00107675,0.00107675
9,1274.71,0.83905,0.56443,0.95805,0.87793,0.8593,0.91464,0.76844,0.72994,0.46822,0.92444,0.001052,0.001052,0.001052
10,1418.43,0.83147,0.54667,0.95398,0.89987,0.88978,0.93473,0.80105,0.72489,0.44817,0.91816,0.00102725,0.00102725,0.00102725
11,1561.84,0.82347,0.53609,0.95086,0.87449,0.88416,0.93032,0.82167,0.70545,0.44922,0.91361,0.0010025,0.0010025,0.0010025
12,1705.56,0.81231,0.52185,0.94605,0.89891,0.88695,0.93049,0.81449,0.70451,0.44741,0.9109,0.00097775,0.00097775,0.00097775
13,1849.3,0.80714,0.51274,0.9435,0.90467,0.85977,0.92966,0.8148,0.69576,0.44883,0.90468,0.000953,0.000953,0.000953
14,1993.16,0.80172,0.51226,0.9426,0.88783,0.88771,0.93023,0.81308,0.69482,0.43154,0.90845,0.00092825,0.00092825,0.00092825
15,2136.74,0.79214,0.49788,0.93924,0.89343,0.87831,0.9358,0.82507,0.68488,0.42362,0.90237,0.0009035,0.0009035,0.0009035
16,2280.66,0.78835,0.49293,0.93663,0.92897,0.85765,0.94081,0.82461,0.68296,0.41574,0.90004,0.00087875,0.00087875,0.00087875
17,2424.33,0.78273,0.48903,0.93452,0.91457,0.8973,0.94728,0.84094,0.6818,0.40358,0.89932,0.000854,0.000854,0.000854
18,2568.43,0.77905,0.48385,0.93436,0.8925,0.93025,0.94842,0.84026,0.67809,0.40071,0.9018,0.00082925,0.00082925,0.00082925
19,2712.01,0.77167,0.4789,0.93113,0.93272,0.89526,0.95299,0.8383,0.67543,0.40167,0.89541,0.0008045,0.0008045,0.0008045
20,2855.85,0.76256,0.47104,0.92987,0.88568,0.9153,0.94749,0.83995,0.66589,0.40189,0.90036,0.00077975,0.00077975,0.00077975
21,2999.46,0.7631,0.46934,0.92743,0.9176,0.89259,0.94637,0.83899,0.67133,0.39509,0.89626,0.000755,0.000755,0.000755
22,3143.38,0.75741,0.46085,0.92701,0.93558,0.88947,0.9517,0.84676,0.66306,0.40087,0.89137,0.00073025,0.00073025,0.00073025
23,3287.1,0.75869,0.45879,0.92608,0.92975,0.89489,0.95434,0.85312,0.65538,0.38267,0.89466,0.0007055,0.0007055,0.0007055
24,3430.99,0.75431,0.45659,0.92492,0.91927,0.91611,0.95312,0.84938,0.65209,0.38042,0.89143,0.00068075,0.00068075,0.00068075
25,3574.94,0.7471,0.45179,0.92301,0.94546,0.90282,0.9513,0.85387,0.6514,0.37204,0.89206,0.000656,0.000656,0.000656
26,3719,0.74391,0.44621,0.92219,0.93567,0.92159,0.96025,0.85993,0.64903,0.3714,0.89072,0.00063125,0.00063125,0.00063125
27,3862.86,0.73845,0.44198,0.92034,0.92769,0.92474,0.96079,0.86718,0.64264,0.36768,0.88601,0.0006065,0.0006065,0.0006065
28,4006.87,0.73416,0.43532,0.9171,0.94533,0.90303,0.95911,0.86378,0.64179,0.3632,0.88225,0.00058175,0.00058175,0.00058175
29,4150.91,0.7351,0.43565,0.91788,0.93418,0.91928,0.95678,0.85559,0.64031,0.36402,0.88433,0.000557,0.000557,0.000557
30,4297.53,0.73198,0.43082,0.91557,0.94944,0.9219,0.96277,0.8646,0.63966,0.36144,0.88698,0.00053225,0.00053225,0.00053225
31,4444.14,0.72721,0.42772,0.91745,0.9418,0.91236,0.96326,0.86373,0.64163,0.35966,0.88838,0.0005075,0.0005075,0.0005075
32,4588.48,0.72685,0.42405,0.91623,0.94458,0.91972,0.96481,0.86872,0.63449,0.3554,0.88529,0.00048275,0.00048275,0.00048275
33,4732.51,0.72271,0.42129,0.91386,0.93318,0.93556,0.96689,0.8739,0.63236,0.3518,0.88211,0.000458,0.000458,0.000458
34,4876.33,0.71601,0.41564,0.91293,0.92044,0.93904,0.96759,0.8751,0.62843,0.35431,0.88063,0.00043325,0.00043325,0.00043325
35,5020.32,0.71513,0.4149,0.91137,0.95995,0.92176,0.97077,0.87981,0.6261,0.34464,0.88043,0.0004085,0.0004085,0.0004085
36,5164.41,0.71396,0.40737,0.91071,0.95236,0.92229,0.96903,0.87691,0.62729,0.34445,0.88181,0.00038375,0.00038375,0.00038375
37,5308.34,0.71032,0.40854,0.90985,0.9413,0.92641,0.96825,0.87431,0.62822,0.34535,0.87926,0.000359,0.000359,0.000359
38,5452.26,0.70077,0.40033,0.90642,0.94094,0.93074,0.96865,0.87466,0.6236,0.34103,0.87899,0.00033425,0.00033425,0.00033425
39,5596.57,0.70672,0.40232,0.90906,0.95207,0.92445,0.97387,0.87942,0.62032,0.33965,0.87923,0.0003095,0.0003095,0.0003095
40,5740.51,0.69312,0.39448,0.90442,0.95322,0.92446,0.96721,0.87705,0.61468,0.33568,0.87893,0.00028475,0.00028475,0.00028475
41,5891.36,0.67965,0.36005,0.90041,0.96511,0.92208,0.97157,0.88143,0.61726,0.33776,0.88226,0.00026,0.00026,0.00026
42,6032.37,0.6698,0.35243,0.89542,0.96844,0.91993,0.96945,0.88299,0.61553,0.33313,0.8777,0.00023525,0.00023525,0.00023525
43,6173.59,0.66567,0.34848,0.89282,0.95256,0.93489,0.96774,0.88224,0.61279,0.33005,0.87697,0.0002105,0.0002105,0.0002105
