epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.004,1.12425,1.87587,1.03786,0.7603,0.74966,0.78399,0.64631,0.87012,0.94155,0.92483,0.00333213,0.00333213,0.00333213
2,436.504,1.05112,1.30913,1.00872,0.77519,0.77538,0.82815,0.6801,0.87222,0.75591,0.93026,0.00653349,0.00653349,0.00653349
3,652.855,1.06531,1.22405,1.02119,0.75632,0.81107,0.84283,0.70507,0.88304,0.76405,0.94507,0.00960284,0.00960284,0.00960284
4,868.985,1.05668,1.16411,1.03159,0.77356,0.79315,0.84142,0.68842,0.88292,0.79002,0.95013,0.009406,0.009406,0.009406
5,1085.03,1.01321,1.07456,1.0134,0.84616,0.77693,0.85672,0.7249,0.83932,0.60882,0.93942,0.009208,0.009208,0.009208
6,1302.38,0.98025,1.01914,1.00213,0.84362,0.81872,0.88055,0.74856,0.82267,0.61786,0.92599,0.00901,0.00901,0.00901
7,1519.73,0.95881,0.98205,0.99387,0.85373,0.83576,0.88716,0.75781,0.79774,0.56856,0.92168,0.008812,0.008812,0.008812
8,1737.31,0.93878,0.95102,0.98577,0.84594,0.87764,0.91297,0.78344,0.77785,0.56096,0.91565,0.008614,0.008614,0.008614
9,1955.02,0.92277,0.92982,0.98004,0.85326,0.88752,0.91904,0.78534,0.76983,0.54742,0.91048,0.008416,0.008416,0.008416
10,2172.85,0.91021,0.90487,0.97407,0.86589,0.86714,0.91118,0.79233,0.75772,0.52298,0.90384,0.008218,0.008218,0.008218
11,2391.25,0.89391,0.88144,0.96876,0.86303,0.88777,0.92164,0.80518,0.7462,0.52713,0.90556,0.00802,0.00802,0.00802
12,2609.17,0.88959,0.86915,0.96672,0.85466,0.88427,0.92603,0.80878,0.73741,0.53441,0.89736,0.007822,0.007822,0.007822
13,2828.92,0.87365,0.86031,0.96173,0.8563,0.90019,0.92947,0.815,0.73985,0.51163,0.90421,0.007624,0.007624,0.007624
14,3047.33,0.86909,0.84275,0.96091,0.88653,0.89715,0.92693,0.81821,0.72585,0.49173,0.89624,0.007426,0.007426,0.007426
15,3266.06,0.85977,0.83314,0.95745,0.88747,0.89929,0.94272,0.83087,0.71849,0.4776,0.89391,0.007228,0.007228,0.007228
16,3483.44,0.85201,0.82145,0.9531,0.89186,0.87957,0.93557,0.82528,0.71746,0.4721,0.89339,0.00703,0.00703,0.00703
17,3701.69,0.84357,0.80923,0.95123,0.91027,0.89298,0.9473,0.83355,0.71226,0.45221,0.89073,0.006832,0.006832,0.006832
18,3920.51,0.83959,0.80108,0.95017,0.88653,0.92322,0.94497,0.83407,0.70958,0.45732,0.88947,0.006634,0.006634,0.006634
19,4139,0.83066,0.78633,0.94529,0.90744,0.90986,0.94472,0.83713,0.70061,0.43801,0.88699,0.006436,0.006436,0.006436
20,4357.42,0.82657,0.78315,0.94484,0.89138,0.92307,0.94871,0.84411,0.70175,0.43971,0.88708,0.006238,0.006238,0.006238
21,4574.61,0.81983,0.7722,0.94201,0.88356,0.94095,0.95549,0.84685,0.69697,0.42575,0.885,0.00604,0.00604,0.00604
22,4792.8,0.81508,0.75977,0.94097,0.90466,0.91628,0.9477,0.84152,0.69249,0.42941,0.8847,0.005842,0.005842,0.005842
23,5009.81,0.8143,0.75423,0.93879,0.8994,0.92711,0.94968,0.84265,0.69102,0.42665,0.88243,0.005644,0.005644,0.005644
24,5227.36,0.80746,0.74764,0.93787,0.90797,0.91217,0.95128,0.84519,0.6866,0.42158,0.88187,0.005446,0.005446,0.005446
25,5445.86,0.80253,0.73129,0.93434,0.89483,0.92038,0.94863,0.84492,0.68428,0.41615,0.8809,0.005248,0.005248,0.005248
26,5663.44,0.79824,0.72586,0.93345,0.90546,0.92165,0.95085,0.84809,0.68586,0.41614,0.88073,0.00505,0.00505,0.00505
27,5881.38,0.7929,0.72242,0.93353,0.90828,0.91981,0.95251,0.85011,0.681,0.41136,0.87888,0.004852,0.004852,0.004852
28,6101.58,0.78597,0.70865,0.931,0.90415,0.92416,0.94999,0.84919,0.67938,0.41171,0.87876,0.004654,0.004654,0.004654
29,6318.54,0.787,0.70323,0.93027,0.92339,0.91259,0.95289,0.85281,0.67625,0.40752,0.87832,0.004456,0.004456,0.004456
30,6536.96,0.78004,0.69771,0.92732,0.92087,0.91912,0.95285,0.85124,0.67705,0.40945,0.87839,0.004258,0.004258,0.004258
31,6756,0.77579,0.69267,0.92573,0.91628,0.91507,0.95113,0.85053,0.67517,0.40456,0.87724,0.00406,0.00406,0.00406
32,6974.66,0.77109,0.68545,0.9244,0.9138,0.92292,0.9512,0.85259,0.67285,0.40071,0.87663,0.003862,0.003862,0.003862
33,7192.92,0.76813,0.67768,0.92358,0.91018,0.92403,0.95409,0.85303,0.6747,0.3998,0.87689,0.003664,0.003664,0.003664
34,7410.47,0.76172,0.67718,0.92078,0.90975,0.92782,0.95371,0.85308,0.67382,0.39709,0.87645,0.003466,0.003466,0.003466
35,7627.79,0.75981,0.66741,0.92138,0.90821,0.92936,0.95574,0.85451,0.67133,0.39421,0.8753,0.003268,0.003268,0.003268
36,7844.85,0.75285,0.66519,0.91815,0.905,0.93877,0.95622,0.85461,0.67207,0.39251,0.87557,0.00307,0.00307,0.00307
37,8061.76,0.75304,0.65682,0.91791,0.91359,0.92692,0.95564,0.85455,0.6719,0.39212,0.87557,0.002872,0.002872,0.002872
38,8279.34,0.74452,0.6534,0.91595,0.90723,0.93706,0.95567,0.85695,0.66965,0.39047,0.87498,0.002674,0.002674,0.002674
39,8495.17,0.74176,0.64385,0.91304,0.90842,0.93118,0.9557,0.85652,0.66906,0.38958,0.87468,0.002476,0.002476,0.002476
40,8712.15,0.73864,0.63913,0.91479,0.91891,0.91943,0.95589,0.85705,0.6681,0.38925,0.87421,0.002278,0.002278,0.002278
41,8934.76,0.70847,0.60057,0.89954,0.92485,0.91448,0.95509,0.85804,0.66714,0.39009,0.87384,0.00208,0.00208,0.00208
42,9148.65,0.69819,0.58252,0.89455,0.92333,0.91483,0.95728,0.85873,0.66675,0.38936,0.8738,0.001882,0.001882,0.001882
43,9362.85,0.69226,0.57729,0.89375,0.92643,0.91806,0.95753,0.85934,0.66601,0.38828,0.87347,0.001684,0.001684,0.001684
44,9576.84,0.68686,0.56962,0.89145,0.92573,0.91797,0.95374,0.85851,0.66539,0.38696,0.87332,0.001486,0.001486,0.001486
45,9792.12,0.67879,0.55877,0.88842,0.92891,0.91396,0.9536,0.85803,0.66511,0.38664,0.87318,0.001288,0.001288,0.001288
